"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"The Future Sound of London","Ryan","M","0","Smith","405.28934","free","San Jose-Sunnyvale-Santa Clara, CA","873","Papua New Guinea","26"
"Harmonia","Ryan","M","1","Smith","655.77751","free","San Jose-Sunnyvale-Santa Clara, CA","873","Sehr kosmisch","26"
"My Chemical Romance","Dustin","M","7","Lee","311.11791","free","Myrtle Beach-Conway-North Myrtle Beach, SC-NC","86","Welcome To The Black Parade (Album Version)","87"
"Disturbing Tha Peace / Ludacris / Mystikal / I-20","Mohammad","M","0","Rodriguez","276.4273","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Move Bitch","88"
"Carlos PaiÃÂ£o","Mohammad","M","1","Rodriguez","185.99138","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Playback","88"
"Snowgoons","Mohammad","M","6","Rodriguez","239.28118","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Show Love","88"
"Steve Miller","Mohammad","M","7","Rodriguez","325.22404","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Born To Be Blue","88"
"Creed","Mohammad","M","8","Rodriguez","295.3922","paid","Sacramento--Roseville--Arden-Arcade, CA","888","My Sacrifice","88"
"Max Richter","Mohammad","M","10","Rodriguez","208.40444","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Untitled (Figures)","88"
"Jason Mraz","Mohammad","M","11","Rodriguez","235.49342","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Geek In The Pink (Album Version)","88"
"Betty Everett","Mohammad","M","12","Rodriguez","139.67628","paid","Sacramento--Roseville--Arden-Arcade, CA","888","You're No Good","88"
"Madonna","Mohammad","M","13","Rodriguez","260.75383","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Beautiful Stranger","88"
"Theory Of A Deadman","Mohammad","M","14","Rodriguez","246.54322","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Santa Monica","88"
"Chris Brown","Mohammad","M","15","Rodriguez","203.80689","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Ain't No Way (You Won't Love Me)","88"
"Kansas","Mohammad","M","16","Rodriguez","202.29179","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Dust in The Wind","88"
"Lacksley Castell","Mohammad","M","17","Rodriguez","543.7122","paid","Sacramento--Roseville--Arden-Arcade, CA","888","What A Great Day","88"
